frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
1,FF-34-CAM-4,33544.145652453,33544.153325301,33571.64681469,47.009765625,38.3330078125,0,,0
3,FF-34-CAM-4,33572.687773764,33572.689630619,33572.945855637,38.3330078125,38.3330078125,0,,0
5,FF-34-CAM-4,33573.988652935,33574.000171299,33574.171424643,38.3330078125,38.3330078125,0,,0
7,FF-34-CAM-4,33574.972322764,33574.975274837,33575.139967729,38.3330078125,38.3330078125,0,,0
9,FF-34-CAM-4,33575.965431918,33575.968349619,33576.12693065,38.3330078125,38.3330078125,0,,0
11,FF-34-CAM-4,33577.153947296,33577.155963448,33577.313832687,38.3330078125,38.3330078125,0,,0
13,FF-34-CAM-4,33578.095326343,33578.097744057,33578.244350569,38.3330078125,38.3330078125,0,,0
15,FF-34-CAM-4,33579.08252663,33579.085331066,33579.295983025,38.3330078125,38.3330078125,0,,0
17,FF-34-CAM-4,33580.213736019,33580.221352895,33580.37872415,38.3330078125,38.3330078125,0,,0
19,FF-34-CAM-4,33581.696357007,33581.702126861,33581.871824992,38.3330078125,38.3330078125,0,,0
21,FF-34-CAM-4,33582.859836916,33582.863276604,33582.99410565,38.3330078125,38.3330078125,0,,0
23,FF-34-CAM-4,33583.851288027,33583.85347592,33584.003881279,38.3330078125,38.3330078125,0,,0
25,FF-34-CAM-4,33584.941473349,33584.944523344,33585.102062102,38.3330078125,38.3330078125,0,,0
27,FF-34-CAM-4,33586.039515125,33586.043441117,33586.19969008,38.3330078125,38.3330078125,0,,0
29,FF-34-CAM-4,33587.078924709,33587.080630966,33587.257908974,38.3330078125,38.3330078125,0,,0
31,FF-34-CAM-4,33588.117038673,33588.122499291,33588.233077961,38.3330078125,38.3330078125,0,,0
33,FF-34-CAM-4,33589.302089591,33589.304400671,33589.471369085,38.3330078125,38.3330078125,0,,0
35,FF-34-CAM-4,33590.582264176,33590.587811017,33590.746271408,38.3330078125,38.3330078125,0,,0
37,FF-34-CAM-4,33591.653212967,33591.655622143,33591.799871685,38.3330078125,38.3330078125,0,,0
39,FF-34-CAM-4,33592.670370664,33592.672159117,33592.79204906,38.3330078125,38.3330078125,0,,0
41,FF-34-CAM-4,33593.816672878,33593.820771542,33593.984487522,38.3330078125,38.3330078125,0,,0
43,FF-34-CAM-4,33594.89159146,33594.893851514,33595.013921944,38.3330078125,38.3330078125,0,,0
45,FF-34-CAM-4,33596.060742372,33596.062523323,33596.210944166,38.3330078125,38.3330078125,0,,0
47,FF-34-CAM-4,33597.060415131,33597.063546286,33597.20986592,38.3330078125,38.3330078125,0,,0
49,FF-34-CAM-4,33598.209666198,33598.223593389,33598.429414692,38.3330078125,38.3330078125,0,,0
51,FF-34-CAM-4,33599.261062888,33599.263046284,33599.398971488,38.3330078125,38.3330078125,0,,0
53,FF-34-CAM-4,33600.289907242,33600.296337286,33600.496392233,38.3330078125,38.3330078125,0,,0
71,FF-34-CAM-4,33615.724265094,33615.730729387,33615.843805777,38.33349609375,38.3330078125,0,,0
73,FF-34-CAM-4,33616.604175443,33616.605673049,33616.727797693,38.3330078125,38.3330078125,0,,0
75,FF-34-CAM-4,33617.560339166,33617.562074322,33617.664991255,38.3330078125,38.3330078125,0,,0
77,FF-34-CAM-4,33618.60557848,33618.608135382,33618.750197012,38.3330078125,38.3330078125,0,,0
79,FF-34-CAM-4,33619.790273205,33619.792679541,33619.927040529,38.3330078125,38.3330078125,0,,0
87,FF-34-CAM-4,33623.665968734,33623.669358603,33623.882836571,38.33349609375,38.3330078125,0,,0
97,FF-34-CAM-4,33628.709415898,33628.711303235,33628.801105431,38.33349609375,38.3330078125,0,,0
99,FF-34-CAM-4,33629.588975238,33629.591720854,33629.697428878,38.3330078125,38.3330078125,0,,0
101,FF-34-CAM-4,33630.620749512,33630.622692091,33630.789972178,38.3330078125,38.3330078125,0,,0
103,FF-34-CAM-4,33631.548352537,33631.553044564,33631.730419005,38.3330078125,38.3330078125,0,,0
107,FF-34-CAM-4,33633.818998922,33633.822686055,33633.969295264,38.33349609375,38.3330078125,0,,0
109,FF-34-CAM-4,33634.860462223,33634.862661738,33635.044769691,38.3330078125,38.3330078125,0,,0
111,FF-34-CAM-4,33636.171186729,33636.172927951,33636.287702644,38.3330078125,38.3330078125,0,,0
113,FF-34-CAM-4,33637.128567659,33637.130275436,33637.2577146,38.3330078125,38.3330078125,0,,0
115,FF-34-CAM-4,33638.200795291,33638.203638034,33638.412564587,38.3330078125,38.3330078125,0,,0
117,FF-34-CAM-4,33639.326542889,33639.328546563,33639.439714029,38.3330078125,38.3330078125,0,,0
119,FF-34-CAM-4,33640.381641126,33640.388598508,33640.577612066,38.3330078125,38.3330078125,0,,0
121,FF-34-CAM-4,33641.470166105,33641.471691453,33641.663538103,38.3330078125,38.3330078125,0,,0
123,FF-34-CAM-4,33642.572359382,33642.574805733,33642.717306977,38.3330078125,38.3330078125,0,,0
