frame_idx,camera_id,t_arrival,t_inference_start,t_inference_end,gpu_mem_before_mb,gpu_mem_after_mb,num_persons,avg_confidence,wrist_keypoints
1,GF-16-CAM-18,33514.9044361,33514.905895796,33523.79185231,47.009765625,38.3330078125,0,,0
37,GF-16-CAM-18,33528.138239512,33528.139213411,33528.189999751,38.33349609375,38.3330078125,0,,0
67,GF-16-CAM-18,33532.258625832,33532.259021681,33532.2972225,38.33349609375,38.3330078125,0,,0
71,GF-16-CAM-18,33532.734124764,33532.736531443,33532.774076411,38.33349609375,38.3330078125,0,,0
73,GF-16-CAM-18,33532.981628574,33532.982723778,33533.026957879,38.3330078125,38.3330078125,0,,0
77,GF-16-CAM-18,33533.488396529,33533.489667312,33533.530776922,38.33349609375,38.3330078125,0,,0
85,GF-16-CAM-18,33534.353350206,33534.353953545,33534.38296519,38.33349609375,38.3330078125,0,,0
87,GF-16-CAM-18,33534.60151686,33534.602147314,33534.647504593,38.3330078125,38.3330078125,0,,0
89,GF-16-CAM-18,33534.877616317,33534.878268743,33534.917090095,38.3330078125,38.3330078125,0,,0
91,GF-16-CAM-18,33535.127868795,33535.129652553,33535.169043558,38.3330078125,38.3330078125,0,,0
93,GF-16-CAM-18,33535.340151145,33535.34149335,33535.391056572,38.3330078125,38.3330078125,0,,0
95,GF-16-CAM-18,33535.580470613,33535.581304918,33535.612692746,38.3330078125,38.3330078125,0,,0
97,GF-16-CAM-18,33535.842421001,33535.843415286,33535.904281697,38.3330078125,38.3330078125,0,,0
99,GF-16-CAM-18,33536.103868103,33536.104404855,33536.158774376,38.3330078125,38.3330078125,0,,0
101,GF-16-CAM-18,33536.304557494,33536.305315294,33536.341369248,38.3330078125,38.3330078125,0,,0
103,GF-16-CAM-18,33536.607236252,33536.609422659,33536.656572179,38.3330078125,38.3330078125,0,,0
105,GF-16-CAM-18,33536.791939539,33536.793384965,33536.854482708,38.3330078125,38.3330078125,0,,0
107,GF-16-CAM-18,33537.044021192,33537.051186349,33537.084239018,38.3330078125,38.3330078125,0,,0
109,GF-16-CAM-18,33537.267450137,33537.268668542,33537.331983679,38.3330078125,38.3330078125,0,,0
111,GF-16-CAM-18,33537.521599466,33537.522430949,33537.585058544,38.3330078125,38.3330078125,0,,0
113,GF-16-CAM-18,33537.709403507,33537.71301434,33537.787263154,38.3330078125,38.3330078125,0,,0
115,GF-16-CAM-18,33538.045173127,33538.045942508,33538.083601816,38.3330078125,38.3330078125,0,,0
117,GF-16-CAM-18,33538.267042647,33538.268020499,33538.346051637,38.3330078125,38.3330078125,0,,0
119,GF-16-CAM-18,33538.59015335,33538.590789109,33538.626540923,38.3330078125,38.3330078125,0,,0
121,GF-16-CAM-18,33538.80716286,33538.809398626,33538.871985801,38.3330078125,38.3330078125,0,,0
123,GF-16-CAM-18,33539.056732845,33539.057739196,33539.098862761,38.3330078125,38.3330078125,0,,0
125,GF-16-CAM-18,33539.310194601,33539.311214944,33539.352286634,38.3330078125,38.3330078125,0,,0
127,GF-16-CAM-18,33539.549596727,33539.551809622,33539.605158409,38.3330078125,38.3330078125,0,,0
129,GF-16-CAM-18,33539.802882274,33539.804441444,33539.853853257,38.3330078125,38.3330078125,0,,0
131,GF-16-CAM-18,33540.022737086,33540.026211097,33540.073056818,38.3330078125,38.3330078125,0,,0
133,GF-16-CAM-18,33540.288564755,33540.28904631,33540.321116941,38.3330078125,38.3330078125,0,,0
135,GF-16-CAM-18,33540.514124155,33540.515482397,33540.55268511,38.3330078125,38.3330078125,0,,0
137,GF-16-CAM-18,33540.741188193,33540.742045887,33540.784490351,38.3330078125,38.3330078125,0,,0
139,GF-16-CAM-18,33540.951869403,33540.952738569,33540.990894439,38.3330078125,38.3330078125,0,,0
141,GF-16-CAM-18,33541.165932835,33541.167276265,33541.20830301,38.3330078125,38.3330078125,0,,0
143,GF-16-CAM-18,33541.445247624,33541.446733867,33541.496311834,38.3330078125,38.3330078125,0,,0
145,GF-16-CAM-18,33541.746628291,33541.748140056,33541.783524427,38.3330078125,38.3330078125,0,,0
147,GF-16-CAM-18,33542.078225744,33542.079496378,33542.132202887,38.3330078125,38.3330078125,0,,0
149,GF-16-CAM-18,33542.30248619,33542.303234217,33542.340214102,38.3330078125,38.3330078125,0,,0
151,GF-16-CAM-18,33542.546927317,33542.548461757,33542.606436573,38.3330078125,38.3330078125,0,,0
153,GF-16-CAM-18,33542.76675334,33542.767466558,33542.814417517,38.3330078125,38.3330078125,0,,0
155,GF-16-CAM-18,33542.98419924,33542.984902525,33543.03115137,38.3330078125,38.3330078125,0,,0
157,GF-16-CAM-18,33543.200478623,33543.201127709,33543.23258949,38.3330078125,38.3330078125,0,,0
159,GF-16-CAM-18,33543.447538535,33543.448354987,33543.511456759,38.3330078125,38.3330078125,0,,0
161,GF-16-CAM-18,33543.691298236,33543.69189645,33543.732840983,38.3330078125,38.3330078125,0,,0
163,GF-16-CAM-18,33543.999095081,33544.000041431,33544.048505338,38.3330078125,38.3330078125,0,,0
165,GF-16-CAM-18,33544.195304078,33544.196264279,33544.226936848,38.3330078125,38.3330078125,0,,0
167,GF-16-CAM-18,33544.482516433,33544.483507148,33544.520244831,38.3330078125,38.3330078125,0,,0
169,GF-16-CAM-18,33544.721898389,33544.722620389,33544.767358756,38.3330078125,38.3330078125,0,,0
171,GF-16-CAM-18,33544.995953307,33544.996583466,33545.03894242,38.3330078125,38.3330078125,0,,0
173,GF-16-CAM-18,33545.248385454,33545.249064122,33545.308960125,38.3330078125,38.3330078125,0,,0
175,GF-16-CAM-18,33545.516613919,33545.517134537,33545.591247479,38.3330078125,38.3330078125,0,,0
177,GF-16-CAM-18,33545.761801985,33545.762471209,33545.787936121,38.3330078125,38.3330078125,0,,0
179,GF-16-CAM-18,33546.05937905,33546.060451922,33546.093117421,38.3330078125,38.3330078125,0,,0
181,GF-16-CAM-18,33546.237376887,33546.237965747,33546.307063272,38.3330078125,38.3330078125,0,,0
183,GF-16-CAM-18,33546.505838137,33546.506537433,33546.552976516,38.3330078125,38.3330078125,0,,0
185,GF-16-CAM-18,33546.701914434,33546.70276035,33546.743947923,38.3330078125,38.3330078125,0,,0
187,GF-16-CAM-18,33546.959877554,33546.960577207,33547.032619216,38.3330078125,38.3330078125,0,,0
189,GF-16-CAM-18,33547.164642218,33547.165414449,33547.196426435,38.3330078125,38.3330078125,0,,0
191,GF-16-CAM-18,33547.477725961,33547.4783731,33547.537507556,38.3330078125,38.3330078125,0,,0
193,GF-16-CAM-18,33547.684026378,33547.685335754,33547.729074472,38.3330078125,38.3330078125,0,,0
195,GF-16-CAM-18,33548.012226631,33548.013439966,33548.082886414,38.3330078125,38.3330078125,0,,0
197,GF-16-CAM-18,33548.274231076,33548.276269983,33548.337786788,38.3330078125,38.3330078125,0,,0
199,GF-16-CAM-18,33548.521110982,33548.522215369,33548.566931915,38.3330078125,38.3330078125,0,,0
201,GF-16-CAM-18,33548.841491509,33548.842222868,33548.88679762,38.3330078125,38.3330078125,0,,0
